domain_id,sport_id,name,baseid,jurisdiction,underage_category_id,participant_type_id,is_amateur,created_at,updated_at
1,1,San Lorenzo,,ar,,1,0,2026-02-27T19:50:51,2026-02-27T21:14:10
2,1,Instituto AC Cordoba,,ar,,1,0,2026-02-27T19:50:51,2026-02-27T21:14:17
3,1,Central Cordoba SdE,,ar,,1,0,2026-02-27T20:45:48,2026-02-27T20:55:13
4,1,Talleres Cordoba,,ar,,1,0,2026-02-27T20:45:49,2026-02-27T20:55:22
5,1,Eastern Football Team U22,,hk,22,1,0,2026-02-27T21:03:45,2026-02-27T21:03:45
6,1,Eastern District U22,,hk,22,1,0,2026-02-27T21:03:45,2026-02-27T21:03:45
7,1,Martinique U20,,mq,20,1,0,2026-02-27T21:05:18,2026-02-27T21:05:46
8,1,US Virgin Islands U20,,vi,20,1,0,2026-02-27T21:05:25,2026-02-27T21:06:01
9,1,Manang Marshyangdi Club,,np,,1,0,2026-02-27T21:19:46,2026-02-27T21:19:46
10,1,Armed Police Force,,np,,1,0,2026-02-27T21:19:47,2026-02-27T21:19:47
11,1,Beyoglu Yeni Carsi FK U19,,tr,19,1,0,2026-02-27T21:20:14,2026-02-27T21:21:31
12,1,Inegol Kafkasspor U19,,tr,19,1,0,2026-02-27T21:20:15,2026-02-27T21:21:43
13,2,Jessica Pegula,,-,,5,0,2026-03-02T09:28:21,2026-03-02T09:28:21
14,2,Rebecca Sramkova,,-,,5,0,2026-03-02T09:28:24,2026-03-02T09:28:24
15,2,C. Harrison/D. Hewitt,,-,,1,0,2026-03-02T10:06:50,2026-03-02T10:06:50
16,2,A. Bondar/D. Galfi,,-,,1,0,2026-03-02T10:06:50,2026-03-02T10:06:50
17,1,Paris St. Germain U19,,fr,19,1,0,2026-03-02T10:44:28,2026-03-03T09:25:07
18,1,HJK Helsinki U19,,fi,19,1,0,2026-03-02T10:44:29,2026-03-03T09:25:22
19,1,Sporting Cristal,,-,,1,0,2026-03-02T11:17:44,2026-03-02T11:17:44
20,1,2 de Mayo,,-,,1,0,2026-03-02T11:17:45,2026-03-02T11:17:45
21,1,Huachipato,,-,,1,0,2026-03-02T16:07:09,2026-03-02T16:07:09
22,1,Carabobo,,-,,1,0,2026-03-02T16:07:10,2026-03-02T16:07:10
23,1,Sariyer U19,,-,19,1,0,2026-03-02T16:09:17,2026-03-02T16:09:17
24,1,Bursa Yildirimspor U19,,tr,19,1,0,2026-03-02T16:09:18,2026-03-03T09:24:40
25,1,Joinville,,br,,1,0,2026-03-03T09:19:08,2026-03-03T09:19:08
26,1,CSA,,br,,1,0,2026-03-03T09:19:08,2026-03-03T09:19:08
27,1,Humaita,,br,,1,0,2026-03-03T09:19:50,2026-03-03T09:19:50
28,1,Sao Francisco AC,,br,,1,0,2026-03-03T09:19:51,2026-03-03T09:19:51
29,5,3DMAX,,-,,1,0,2026-03-03T13:39:14,2026-03-03T13:39:14
30,5,Gaimin Gladiators,,-,,1,0,2026-03-03T13:39:15,2026-03-03T13:39:15
31,4,Uppsala Basket,,se,,1,0,2026-03-03T13:43:46,2026-03-03T13:43:46
32,4,Soedertaelje BBK,,se,,1,0,2026-03-03T13:43:46,2026-03-03T13:43:46
33,4,Piestanske Cajky Women,,sk,,2,0,2026-03-03T13:45:36,2026-03-03T13:45:36
34,4,Slavia Banska Bystrica Women,,sk,,2,0,2026-03-03T13:45:37,2026-03-03T13:45:37
35,1,St. Andrew Lions FC,,bb,,1,0,2026-03-05T12:17:48,2026-03-05T12:17:48
36,1,Ellerton FC,,bb,,1,0,2026-03-05T12:17:51,2026-03-05T12:17:51